整体	整体 总体
造型	造型
性能	性能
空间	空间
性价比	性价比
油耗	油耗
外观	外观 外形 外表 样子 颜值
动力	动力 马力
隔音	隔音
价格	价格 价位 价钱 费用
配置	配置
舒适性	舒适性 舒适度
质量	质量 品质
款式	款式
噪音	噪音 噪声
销量	销量
功能	功能
安全	安全
气味	气味 味道
品牌	品牌
设计	设计
尺寸	尺寸 大小
材料	材料 材质 用料 面料
操控	操控
表现	表现
成本	成本
档次	档次
问题	问题
速度	速度
线条	线条
声音	声音
口碑	口碑
风格	风格
重心	重心
颜色	颜色 配色
长度	长度
宽度	宽度
硬度	硬度 软硬
重量	重量
轴距	轴距
排量	排量
转速	转速
型号	型号 款式
视野	视野
优点	优点
缺点	缺点
位置	位置
灵敏度	灵敏度 敏感度
反应	反应 响应
力度	力度 力道
容量	容量 容积
起步	起步
安全性	安全性
高度	高度
比例	比例
结构	结构
稳定性	稳定性
亮度	亮度
效果	效果
质感	质感
用料	用料
减震	减震
启停	启停
技术	技术
故障	故障
功率	功率
温度	温度
马力	马力
手感	手感
感觉	感觉
平顺性	平顺性
行程	行程
控制	控制
轻重	轻重
操作	操作
背景	背景
包裹	包裹
厚度	厚度
角度	角度
支撑	支撑
布局	布局
音质	音质
音量	音量
味道	味道
版本	版本
深度	深度
面积	面积
缝隙	缝隙
规格	规格
气压	气压
花纹	花纹
样式	样式
接缝	接缝
辨识度	辨识度
