汽车	整体 位置 感觉 问题 异响 声音 造型 外观 噪音 开关 空间 效果 质量 情况 系统 缝隙 按钮 材料 油耗 舒适性 高度 做工 动力 颜色 尺寸 塑料 线条 时间 距离 大小 样式 角度 时尚 故障 方向 长度 储物 手感 质地 调校 电子 结构 视觉 塑料感 后排 稳定性 性能 科技感 技术 风格 宽度 科技 温度 动感 运动感 优点 性价比 重量 比例 流线 速度 数据 视野 通病 品质 配件 特点 轮廓 中央 织物 车型 视线 垃圾 表面 弹簧 转速 味道 价格 怠速 细节 腰线 刚性 整体性 工艺 品牌 灯光 水平 低速 铁皮 信息 操控性 重心 漆面 密封性 音质 数量 包裹 横向 皮革 实用性 款式 个性 水温 层次 极限 隔音 寿命 多媒体 作用 接缝 指向性 异味 成本 参数 钣金 档次 档位 钢板 氛围 通过性 规格 头部 安全性 级别 状态 平顺性 要求 型号 厂家 液压 回头率 涡轮 车速 尾部 体积 路感 缺点 激光 框架 时速 力度 外壳 好坏 纵向 可靠性 厚重感 构造 灵活性 全景 方向感 肌肉感 方式 基础 动作 影像 磨合期 气味 排量 姿态 省油 腿部 标准 坐姿 轴距 流线型 马力 保有量 声浪 低调 豪华感 油漆 音效 透镜 动态 静音 经济 差距 口碑 扭矩 冷车 自重 费油 机油 动静 机械 低扭 胎压 照片 亮点 贴膜 智能 线路 平台 后劲 范围 卤素 图片 门槛 称号 燃油 格调 爆发力 颜值 顶灯 盲区 装备 故障率 尾门 传统 标志 经济性 远光 头顶 档次感 四驱 推背感 动力性 装潢 近光灯 门缝 净重 潮流 视频 颠簸感 板金 封闭性 前台 暖风 基因 胎噪 侧倾 典范 顿挫感 操控 脾气 导航 耐用性 节奏 潜力
发动机	整体 位置 感觉 问题 异响 声音 外观 噪音 空间 质量 情况 系统 油耗 舒适性 动力 塑料 时间 故障 调校 电子 结构 总成 稳定性 性能 技术 布局 科技 温度 优点 性价比 重量 数据 通病 品质 配件 特点 车型 转速 护板 怠速 工艺 品牌 水平 低速 操控性 重心 水温 极限 隔音 寿命 参数 功率 线性 程序 平顺性 皮带 盖板 型号 涡轮 体积 时速 力度 可靠性 效率 挡板 基础 磨合期 排量 省油 马力 保有量 声浪 隔音棉 静音 机舱 经济 口碑 扭矩 冷车 响声 费油 渗油 机油 支架 动静 积碳 低扭 智能 后劲 称号 燃油 爆发力 故障率 经济性 扭力 四驱 杂音 动力性 线束 能力 耐用性 潜力
机体组	整体 
气缸盖罩	整体 
气缸盖	整体 
气缸体	整体 
油底壳	整体 
曲柄连杆机构	整体 
曲轴	整体 位置
飞轮	整体 
活塞	整体 
连杆	整体 作用
配气机构	整体 
凸轮轴	整体 
进气凸轮轴	整体 
排气凸轮轴	整体 
凸轮	整体 
气门	整体 声音 技术
进气门	整体 
排气门	整体 
气门弹簧	整体 
气门挺柱	整体 
顶杆	整体 
摇臂	整体 
进气系统	整体 
进气歧管	整体 
进气管	整体 
节气门	整体 问题 积碳
油门	整体 位置 感觉 问题 声音 外观 噪音 效果 情况 油耗 动力 间距 时间 距离 大小 高度 方向 调校 电子 行程 优点 力度 速度 通病 深度 感应 转速 虚位 灵敏度 脚感 重量 线性 涡轮 车速 拉线 方式 结合处 初段 反应 推背感 节奏
踏板	整体 位置 感觉 异响 距离 角度 行程 力度 深度 虚位 脚感 间距
空气滤清器	整体 
涡轮增压器	整体 
排气系统	整体 
排气歧管	整体 
排气管	整体 位置 问题 异响 声音 噪音 尾部
三元催化转化器	整体 
消声器	整体 
燃料供给系统	整体 
燃油箱	整体 
燃油泵	整体 
燃油滤清器	整体 
燃油调压器	整体 
喷油器	整体 
冷却系统	整体 
水箱	整体 问题 温度 水温 框架
水泵	整体 
水管	整体 
水套	整体 
冷却液	整体 
散热器	整体 
润滑系统	整体 
机油滤网	整体 
机油泵	整体 
机油滤清器	整体 
点火系统	整体 
高压点火线	整体 
火花塞	整体 
起动系统	整体 
蓄电池	整体 问题 寿命 容量
起动电机	整体 
底盘	整体 位置 感觉 问题 异响 声音 噪音 空间 质量 情况 系统 材料 油耗 舒适性 高度 做工 动力 间距 质地 调校 结构 稳定性 性能 技术 科技 配件 优点 护板 刚性 整体性 操控性 重心 模式 螺丝 极限 隔音 成本 支撑性 通过性 规格 路感 厚重感 基础 功劳 韧性 强度 平台 基因
传动系统	整体 
离合器	整体 位置 感觉 问题 异响 开关 高度 间距 调校 总成 行程 技术 力度 弹簧 脚感 拉线 结合处
膜片弹簧	整体 
摩擦片	整体 
变速器	整体 位置 感觉 问题 异响 声音 外观 噪音 质量 系统 油耗 动力 故障 手感 调校 电子 总成 稳定性 性能 行程 技术 温度 优点 通病 特点 车型 垃圾 转速 怠速 低速 组合 档位 程序 平顺性 缺点 可靠性 效率 功劳 渗油 顿挫感 脾气
变速杆	整体 
换挡拉杆	整体 
换挡拨叉	整体 
同步器	整体 
齿轮	整体 声音
传动轴	整体 声音 噪音
差速器	整体 异响
驱动桥	整体 
行驶系统	整体 
车架	整体 感觉 结构 刚性
悬架	整体 感觉 问题 系统 舒适性 调校 结构 模式 韧性
控制臂	整体 
稳定杆	整体 
减振器	整体 异响 效果 质量 行程
螺旋弹簧	整体 
车轮	整体 位置 感觉 造型 尺寸 直径
前轮	整体 位置 异响 方向 轴承
后轮	整体 位置 弹簧 轴承 内衬
轮毂	整体 感觉 问题 造型 外观 舒适性 颜色 尺寸 大小 样式 视觉 动感 优点 款式 螺丝 回头率 花纹
轮辋	整体 
轮辐	整体 
